Hour,Demand
1,690.721
2,631.007
3,584.729
4,561.478
5,540.237
6,549.781
7,610.904
8,640.634
9,624.87
10,614.888
11,579.033
12,491.633
13,460.968
14,484.134
15,523.342
16,592.144
17,698.155
18,811.854
19,888.445
20,899.776
21,887.186
22,850.019
23,788.947
24,734.953
