날짜,,실시간 전력 부하,,,,육태,육풍,제태,제풍,신재생에너지,Netdemand
2022-06-30 17:50,93101700000,81561500000,11540200000,11016900000,13.5 %,11358541667,2180116667,426741666.7,539950000,14505350000,"67,056,150,000"
2022-06-30 17:55,93078200000,81388800000,11689400000,11113800000,13.7 %,11358541667,2180116667,426741666.7,539950000,14505350000,"66,883,450,000"
2022-06-30 18:00,93075200000,81237900000,11837300000,11213300000,13.8 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,962,791,667"
2022-06-30 18:05,93004500000,80679800000,12324700000,11731100000,14.5 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,404,691,667"
2022-06-30 18:10,93119200000,80558300000,12560800000,11930500000,14.8 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,283,191,667"
2022-06-30 18:15,93058900000,80599300000,12459600000,11837100000,14.7 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,324,191,667"
2022-06-30 18:20,92840700000,80728000000,12112600000,11443600000,14.2 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,452,891,667"
2022-06-30 18:25,92823500000,80553500000,12270000000,11640900000,14.5 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,278,391,667"
2022-06-30 18:30,92777500000,80564500000,12213000000,11413400000,14.2 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,289,391,667"
2022-06-30 18:35,92654300000,80581900000,12072400000,11292400000,14.0 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,306,791,667"
2022-06-30 18:40,92659600000,80432000000,12227500000,11422300000,14.2 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,156,891,667"
2022-06-30 18:45,92597800000,80504300000,12093500000,11356100000,14.1 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,229,191,667"
2022-06-30 18:50,92577300000,80373500000,12203800000,11454300000,14.3 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,098,391,667"
2022-06-30 18:55,92988900000,80676400000,12312400000,11129400000,13.8 %,8826400000,1936050000,145375000,367283333.3,11275108333,"69,401,291,667"
2022-06-30 19:00,91828900000,80392400000,11436500000,11455100000,14.2 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,658,766,667"
2022-06-30 19:05,91896600000,80441100000,11455500000,11406800000,14.2 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,707,466,667"
2022-06-30 19:10,91833100000,80271300000,11561800000,11525100000,14.4 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,537,666,667"
2022-06-30 19:15,91805900000,80295700000,11510100000,11457500000,14.3 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,562,066,667"
2022-06-30 19:20,91755100000,80109700000,11645400000,11251400000,14.0 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,376,066,667"
2022-06-30 19:25,91674300000,79895400000,11778900000,11234700000,14.1 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,161,766,667"
2022-06-30 19:30,91657900000,79871300000,11786600000,11244700000,14.1 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,137,666,667"
2022-06-30 19:35,91634200000,79481800000,12152400000,11429300000,14.4 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"69,748,166,667"
2022-06-30 19:40,91618100000,79755600000,11862500000,11243500000,14.1 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,021,966,667"
2022-06-30 19:45,91619100000,79822100000,11797100000,11067000000,13.9 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"70,088,466,667"
2022-06-30 19:50,91588400000,79525400000,12063000000,11277000000,14.2 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"69,791,766,667"
2022-06-30 19:55,91596500000,79393300000,12203200000,11092500000,14.0 %,6961458333,2155183333,88033333.33,528958333.3,9733633333,"69,659,666,667"
2022-06-30 20:00,91593700000,79089200000,12504500000,11239000000,14.2 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,830,300,000"
2022-06-30 20:05,91551100000,79078300000,12472900000,11192100000,14.2 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,819,400,000"
2022-06-30 20:10,91537100000,79026200000,12510800000,10883400000,13.8 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,767,300,000"
2022-06-30 20:15,91542800000,79173900000,12368900000,10657900000,13.5 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,915,000,000"
2022-06-30 20:20,91576300000,78663100000,12913100000,11232900000,14.3 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,404,200,000"
2022-06-30 20:25,91578600000,78758900000,12819700000,11048300000,14.0 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,500,000,000"
2022-06-30 20:30,91590500000,78698100000,12892400000,10951900000,13.9 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,439,200,000"
2022-06-30 20:35,91566300000,78432300000,13134000000,10755400000,13.7 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"69,173,400,000"
2022-06-30 20:40,91560100000,78143300000,13416800000,10698000000,13.7 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"68,884,400,000"
2022-06-30 20:45,91555200000,77834100000,13721000000,10592500000,13.6 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"68,575,200,000"
2022-06-30 20:50,91527900000,77525000000,14002800000,10757500000,13.9 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"68,266,100,000"
2022-06-30 20:55,91520800000,77391100000,14129700000,10788000000,13.9 %,5854033333,2817308333,55066666.67,532491666.7,9258900000,"68,132,200,000"
2022-06-30 21:00,91523000000,77197400000,14325600000,10397600000,13.5 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"69,824,866,667"
2022-06-30 21:05,91444500000,76576200000,14868300000,10374800000,13.5 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"69,203,666,667"
2022-06-30 21:10,91732000000,76521000000,15211000000,10330100000,13.5 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"69,148,466,667"
2022-06-30 21:15,91713300000,76030900000,15682400000,10922300000,14.4 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"68,658,366,667"
2022-06-30 21:20,91701600000,75742600000,15959000000,11248700000,14.9 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"68,370,066,667"
2022-06-30 21:25,91695400000,75482700000,16212700000,11506900000,15.2 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"68,110,166,667"
2022-06-30 21:30,91699100000,75451300000,16247800000,11434400000,15.2 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"68,078,766,667"
2022-06-30 21:35,90653800000,74873900000,15779900000,11892000000,15.9 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"67,501,366,667"
2022-06-30 21:40,90637100000,74593400000,16043700000,11970100000,16.0 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"67,220,866,667"
2022-06-30 21:45,90635800000,74489700000,16146100000,12017700000,16.1 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"67,117,166,667"
2022-06-30 21:50,90635700000,74337600000,16298100000,12398000000,16.7 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"66,965,066,667"
2022-06-30 21:55,90607900000,74037500000,16570400000,12494200000,16.9 %,4073583333,2857650000,37116666.67,404183333.3,7372533333,"66,664,966,667"
2022-06-30 22:00,90591900000,73462600000,17129400000,12979400000,17.7 %,1162075000,3128083333,11591666.67,345950000,4647700000,"68,814,900,000"
2022-06-30 22:05,90499300000,73073600000,17425700000,13093700000,17.9 %,1162075000,3128083333,11591666.67,345950000,4647700000,"68,425,900,000"
2022-06-30 22:10,90448400000,72409400000,18039000000,13486900000,18.6 %,1162075000,3128083333,11591666.67,345950000,4647700000,"67,761,700,000"
2022-06-30 22:15,90425400000,72563800000,17861700000,12831800000,17.7 %,1162075000,3128083333,11591666.67,345950000,4647700000,"67,916,100,000"
2022-06-30 22:20,90351000000,72344300000,18006700000,12328300000,17.0 %,1162075000,3128083333,11591666.67,345950000,4647700000,"67,696,600,000"
2022-06-30 22:25,90355300000,72047000000,18308300000,12277900000,17.0 %,1162075000,3128083333,11591666.67,345950000,4647700000,"67,399,300,000"
2022-06-30 22:30,90368800000,71566900000,18801900000,12620400000,17.6 %,1162075000,3128083333,11591666.67,345950000,4647700000,"66,919,200,000"
2022-06-30 22:35,90394500000,70975900000,19418600000,13034800000,18.4 %,1162075000,3128083333,11591666.67,345950000,4647700000,"66,328,200,000"
2022-06-30 22:40,90412200000,71054600000,19357600000,12578900000,17.7 %,1162075000,3128083333,11591666.67,345950000,4647700000,"66,406,900,000"
2022-06-30 22:45,90411500000,70912300000,19499100000,12683900000,17.9 %,1162075000,3128083333,11591666.67,345950000,4647700000,"66,264,600,000"
2022-06-30 22:50,90408400000,70206900000,20201500000,12901100000,18.4 %,1162075000,3128083333,11591666.67,345950000,4647700000,"65,559,200,000"
2022-06-30 22:55,90408900000,70040700000,20368200000,12847700000,18.3 %,1162075000,3128083333,11591666.67,345950000,4647700000,"65,393,000,000"
2022-06-30 23:00,90416400000,69850900000,20565500000,12832200000,18.4 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"65,786,383,333"
2022-06-30 23:05,90473200000,70321500000,20151700000,11850400000,16.9 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"66,256,983,333"
2022-06-30 23:10,90455800000,70418800000,20037000000,11240900000,16.0 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"66,354,283,333"
2022-06-30 23:15,90430900000,69962400000,20468500000,10962800000,15.7 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"65,897,883,333"
2022-06-30 23:20,90393800000,69824600000,20569200000,10877200000,15.6 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"65,760,083,333"
2022-06-30 23:25,90404100000,69529300000,20874800000,10945200000,15.7 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"65,464,783,333"
2022-06-30 23:30,90400900000,69094800000,21306100000,10977900000,15.9 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"65,030,283,333"
2022-06-30 23:35,90433700000,68766500000,21667200000,11224000000,16.3 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"64,701,983,333"
2022-06-30 23:40,90434300000,68036500000,22397800000,11828100000,17.4 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"63,971,983,333"
2022-06-30 23:45,90434300000,67620000000,22814300000,11565900000,17.1 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"63,555,483,333"
2022-06-30 23:50,90421900000,67495600000,22926200000,11686500000,17.3 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"63,431,083,333"
2022-06-30 23:55,90433600000,66893400000,23540200000,12193500000,18.2 %,243108333.3,3611266667,3875000,206266666.7,4064516667,"62,828,883,333"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
